"Draw Date","Numbers As Drawn","Numbers In Order","Jackpot","6 of 6","5 of 6","4 of 6","3 of 6"
"03-13-2021","6--20--27--35--36--28","6--20--27--28--35--36","$1.00 Million",0,7,421,7611
"03-10-2021","21--27--1--13--35--5","1--5--13--21--27--35","$1.00 Million",1,13,534,8578
"03-06-2021","5--7--35--22--33--34","5--7--22--33--34--35","$5.20 Million",1,15,855,14350
"03-03-2021","26--6--18--12--44--24","6--12--18--24--26--44","$5.10 Million",0,31,1050,14761
"02-27-2021","22--21--13--30--19--35","13--19--21--22--30--35","$5.00 Million",0,23,959,14803
"02-24-2021","30--4--11--3--21--28","3--4--11--21--28--30","$4.90 Million",0,23,923,14232
"02-20-2021","27--22--20--33--17--4","4--17--20--22--27--33","$4.80 Million",0,8,846,13209
"02-17-2021","1--16--35--38--22--30","1--16--22--30--35--38","$4.70 Million",0,32,684,10326
"02-13-2021","18--7--38--22--30--31","7--18--22--30--31--38","$4.60 Million",0,19,797,12923
"02-10-2021","3--8--20--41--13--21","3--8--13--20--21--41","$4.50 Million",0,15,813,12404
"02-06-2021","19--3--27--21--12--37","3--12--19--21--27--37","$4.40 Million",0,16,994,15065
"02-03-2021","15--42--20--22--24--26","15--20--22--24--26--42","$4.30 Million",0,10,768,12720
"01-30-2021","4--11--20--21--6--34","4--6--11--20--21--34","$4.20 Million",0,22,860,13535
"01-27-2021","29--26--32--40--27--9","9--26--27--29--32--40","$4.10 Million",0,12,691,11935
"01-23-2021","15--12--32--37--14--2","2--12--14--15--32--37","$4.00 Million",0,21,841,14234
"01-20-2021","36--27--38--39--31--6","6--27--31--36--38--39","$3.90 Million",0,24,887,13940
"01-16-2021","41--14--13--16--35--26","13--14--16--26--35--41","$3.80 Million",0,23,790,13424
"01-13-2021","31--26--2--30--16--39","2--16--26--30--31--39","$3.70 Million",0,9,766,12829
"01-09-2021","41--18--5--12--1--42","1--5--12--18--41--42","$3.60 Million",0,19,792,12872
"01-06-2021","21--12--16--18--28--23","12--16--18--21--23--28","$3.50 Million",0,13,750,12118
"01-02-2021","13--44--19--15--17--28","13--15--17--19--28--44","$3.40 Million",0,16,723,10941
"12-30-2020","27--9--26--3--35--42","3--9--26--27--35--42","$3.30 Million",0,23,660,10571
"12-26-2020","24--35--13--11--17--29","11--13--17--24--29--35","$3.20 Million",0,26,640,9799
"12-23-2020","36--34--11--14--33--1","1--11--14--33--34--36","$3.10 Million",0,14,621,10283
"12-19-2020","11--17--25--33--2--20","2--11--17--20--25--33","$3.00 Million",0,13,641,10313
"12-16-2020","30--39--14--24--7--10","7--10--14--24--30--39","$2.90 Million",0,19,576,9067
"12-12-2020","25--5--27--11--12--7","5--7--11--12--25--27","$2.80 Million",0,25,759,11006
"12-09-2020","32--42--31--13--14--5","5--13--14--31--32--42","$2.70 Million",0,14,499,8615
"12-05-2020","19--5--29--2--35--23","2--5--19--23--29--35","$2.60 Million",0,15,637,9621
"12-02-2020","20--5--7--18--41--37","5--7--18--20--37--41","$2.50 Million",0,15,538,8833
"11-28-2020","31--22--15--19--16--39","15--16--19--22--31--39","$2.40 Million",0,10,490,7978
"11-25-2020","30--40--44--9--39--35","9--30--35--39--40--44","$2.30 Million",0,9,555,8716
"11-21-2020","6--10--34--31--1--3","1--3--6--10--31--34","$2.20 Million",0,14,557,8953
"11-18-2020","38--5--4--13--39--10","4--5--10--13--38--39","$2.10 Million",0,14,496,8284
"11-14-2020","23--43--20--17--15--21","15--17--20--21--23--43","$2.00 Million",0,6,465,8366
