Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
3-Jul-02	10:15:18:20:34:36	10:15:18:20:34:36	$1.9 Million	0	9	675	11546
6-Jul-02	7:16:27:34:39:44	7:16:27:34:39:44	$2.0 Million	0	6	753	12432
10-Jul-02	2:3:10:28:42:43	2:3:10:28:42:43	$2.1 Million	0	19	738	11886
13-Jul-02	10:11:17:22:31:39	10:11:17:22:31:39	$2.2 Million	0	16	821	13565
17-Jul-02	8:10:19:26:28:39	8:10:19:26:28:39	$2.3 Million	0	20	827	12965
20-Jul-02	11:23:30:33:38:42	11:23:30:33:38:42	$2.4 Million	0	12	808	13322
24-Jul-02	11:21:22:25:30:44	11:21:22:25:30:44	$2.5 Million	0	18	835	12800
27-Jul-02	2:3:11:19:22:24	2:3:11:19:22:24	$2.7 Million	0	24	1038	15443
31-Jul-02	13:15:24:31:36:41	13:15:24:31:36:41	$2.8 Million	1	16	737	11879
3-Aug-02	4:18:26:34:36:43	4:18:26:34:36:43	$1.0 Million	0	12	717	11712
7-Aug-02	9:12:20:21:28:32	9:12:20:21:28:32	$1.1 Million	0	16	691	11376
10-Aug-02	18:22:30:31:32:33	18:22:30:31:32:33	$1.2 Million	0	18	698	11099
14-Aug-02	5:10:17:22:34:38	5:10:17:22:34:38	$1.3 Million	0	15	662	11244
17-Aug-02	2:17:26:40:42:44	2:17:26:40:42:44	$1.4 Million	0	16	722	12192
21-Aug-02	3:10:20:25:33:34	3:10:20:25:33:34	$1.5 Million	0	12	656	11136
24-Aug-02	18:26:35:40:41:42	18:26:35:40:41:42	$1.6 Million	0	22	737	11695
28-Aug-02	4:9:24:28:39:41	4:9:24:28:39:41	$1.7 Million	0	22	717	11332
31-Aug-02	1:11:13:17:35:37	1:11:13:17:35:37	$1.8 Million	0	24	878	13371
4-Sep-02	10:15:22:29:35:42	10:15:22:29:35:42	$1.9 Million	0	17	784	12108
7-Sep-02	7:10:15:17:25:44	7:10:15:17:25:44	$2.0 Million	0	22	907	15006
11-Sep-02	1:10:13:34:42:44	1:10:13:34:42:44	$2.1 Million	0	16	737	13107
14-Sep-02	8:28:29:34:35:39	8:28:29:34:35:39	$2.2 Million	0	12	879	14589
